,address_id,cluster_id,id,transaction_id,received,sent
0,71413451,1,135571000,29319673,1003590,0
1,71413451,1,135679242,29338157,0,1003590
2,71411914,1,135568134,29319205,1259370,0
3,71411914,1,135679245,29338157,0,1259370
4,71410369,1,135565307,29318455,21009000,0
5,71410369,1,135679241,29338157,0,21009000
6,71410100,1,135564903,29318320,103699500,0
7,71410100,1,135679247,29338157,0,103699500
8,71410040,1,135564812,29318289,1809000,0
9,71410040,1,135679239,29338157,0,1809000
10,71396840,1,135539632,29313765,1985834,0
11,71396840,1,135679248,29338157,0,1985834
12,71376034,1,135498160,29306304,24019000,0
13,71376034,1,135564902,29318320,3005000,0
14,71376034,1,135565305,29318455,0,24019000
15,71376034,1,135679246,29338157,0,3005000
16,71368607,1,135484791,29303737,1002590,0
17,71368607,1,135570997,29319673,0,1002590
18,71396884,1,135539731,29313789,1522000,0
19,71396884,1,135568132,29319205,0,1522000
20,71392754,1,135530088,29311973,1532000,0
21,71392754,1,135539631,29313765,5500,0
22,71392754,1,135539729,29313789,0,1532000
23,71392754,1,135570998,29319673,0,5500
24,71368617,1,135484809,29303740,1005000,0
25,71368617,1,135530802,29312123,0,1005000
26,71376769,1,135499483,29306661,1573000,0
27,71376769,1,135512457,29308984,0,1573000
28,71375434,1,135496399,29306016,1000000,0
29,71375434,1,135498159,29306304,7989000,0
30,71375434,1,135499479,29306661,0,1000000
31,71375434,1,135564810,29318289,0,7989000
32,71375434,1,135568133,29319205,8251630,0
33,71375434,1,135679244,29338157,0,8251630
34,71353776,1,135461268,29300337,1017090,0
35,71353776,1,135484789,29303737,0,1017090
36,71346093,1,135446068,29297419,1005334,0
37,71346093,1,135463478,29300907,0,1005334
38,71292745,1,135339655,29277505,1075100,0
39,71292745,1,135354687,29280419,0,1075100
40,71292723,1,135339589,29277496,1000837,0
41,71292723,1,135354688,29280419,0,1000837
42,71277292,1,135312075,29271617,1006457,0
43,71277292,1,135351196,29279566,5500,0
44,71277292,1,135354686,29280419,0,1006457
45,71277292,1,135463477,29300907,0,5500
46,71340650,1,135435510,29294994,2952090,0
47,71340650,1,135446135,29297434,0,2952090
48,71341213,1,135436584,29295268,1005834,0
49,71341213,1,135446065,29297419,0,1005834
50,71330932,1,135416699,29291190,1002924,0
51,71330932,1,135435511,29294994,15000,0
52,71330932,1,135436580,29295268,0,1002924
53,71330932,1,135446066,29297419,0,15000
54,71329784,1,135414407,29290728,1000500,0
55,71329784,1,135416697,29291190,0,1000500
56,71316328,1,135388055,29285769,1031394,0
57,71316328,1,135416696,29291190,0,1031394
58,71309482,1,135374347,29283441,1091100,0
59,71309482,1,135416695,29291190,0,1091100
60,71279177,1,135315671,29272505,1154587,0
61,71279177,1,135416693,29291190,0,1154587
62,71277469,1,135312344,29271706,1217343,0
63,71277469,1,135416002,29291062,12910,0
64,71277469,1,135416692,29291190,0,1217343
65,71277469,1,135436581,29295268,0,12910
66,71317571,1,135390246,29286348,1005000,0
67,71317571,1,135414406,29290728,0,1005000
68,71300567,1,135354689,29280419,1072394,0
69,71300567,1,135375360,29283701,0,1072394
70,71300411,1,135354301,29280339,1000000,0
71,71300411,1,135375361,29283701,0,1000000
72,71278536,1,135314324,29272189,3984500,0
73,71278536,1,135374348,29283441,15000,0
74,71278536,1,135375359,29283701,0,3984500
75,71278536,1,135388056,29285769,5500,0
76,71278536,1,135390244,29286348,0,15000
77,71278536,1,135414405,29290728,0,5500
78,71279249,1,135315921,29272544,1365697,0
79,71279249,1,135339582,29277496,0,1365697
80,71278640,1,135314481,29272242,2270640,0
81,71278640,1,135339584,29277496,0,2270640
82,71277033,1,135311687,29271488,1069000,0
83,71277033,1,135339581,29277496,0,1069000
84,71277033,1,135339654,29277505,10000,0
85,71277033,1,135354299,29280339,0,10000
86,71272803,1,135301737,29269892,1185660,0
87,71272803,1,135304076,29270248,0,1185660
88,71256305,1,135262570,29263135,1001000,0
89,71256305,1,135304075,29270248,0,1001000
90,71256305,1,135304908,29270380,5500,0
91,71256305,1,135339585,29277496,0,5500
92,70930597,1,134598396,29145625,2658000,0
93,70930597,1,134608045,29147229,0,2658000
94,70929965,1,134597043,29145401,1046417,0
95,70929965,1,134607966,29147218,9785000,0
96,70929965,1,134608043,29147229,0,1046417
97,70929965,1,135315920,29272544,0,9785000
98,70922397,1,134581766,29142076,2480500,0
99,70922397,1,134608044,29147229,0,2480500
100,71274392,1,135304909,29270380,1161160,0
101,71274392,1,135315667,29272505,0,1161160
102,71274392,1,135315922,29272544,32018000,0
103,71274392,1,135498158,29306304,0,32018000
104,71266331,1,135284058,29267021,1003427,0
105,71266331,1,135315669,29272505,0,1003427
106,71265682,1,135283080,29266875,1230000,0
107,71265682,1,135286114,29267359,2674697,0
108,71265682,1,135286500,29267458,0,1230000
109,71265682,1,135315917,29272544,0,2674697
110,71250121,1,135250930,29260967,1007927,0
111,71250121,1,135284055,29267021,0,1007927
112,71243480,1,135236192,29258423,1014000,0
113,71243480,1,135249251,29260582,5500,0
114,71243480,1,135250928,29260967,0,1014000
115,71243480,1,135262567,29263135,0,5500
116,71240707,1,135228677,29257456,1003927,0
117,71240707,1,135250929,29260967,0,1003927
118,71232586,1,135208559,29254427,1029000,0
119,71232586,1,135236190,29258423,0,1029000
120,71238834,1,135223354,29256775,1007660,0
121,71238834,1,135228676,29257456,0,1007660
122,71238825,1,135223327,29256770,1000767,0
123,71238825,1,135227781,29257253,995000,0
124,71238825,1,135228674,29257456,0,1000767
125,71238825,1,135236191,29258423,0,995000
126,71221607,1,135184876,29250610,1079200,0
127,71221607,1,135223353,29256775,0,1079200
128,71221104,1,135183863,29250369,1072460,0
129,71221104,1,135223350,29256775,0,1072460
